pipewire-audio 1:1.0.0-2.1
pipewire-docs 1:1.0.0-2.1
pipewire-jack 1:1.0.0-2.1
pipewire-pulse 1:1.0.0-2.1
pipewire-session-manager 1:1.0.0-2.1
pixman 0.42.2-1
pkgconf 2.1.0-2
playerctl 2.4.1-3
pnpm 8.12.1-1
polkit 123-1
polkit-gnome 0.105-10
polkit-kde-agent 5.27.10-1
polkit-qt5 0.175.0-1
poppler 23.12.0-1
poppler-data 0.4.12-1
poppler-qt5 23.12.0-1
popt 1.19-1
portaudio 1:19.7.0-2
portmidi 1:2.0.4-1
portsmf 234-2
procps-ng 4.0.4-2
protobuf 25.1-1
psmisc 23.6-1
pugixml 1.14-1
python 3.11.6-1
python-annotated-types 0.6.0-1
python-autocommand 2.2.2-4
python-babel 2.12.1-1
python-beautifulsoup4 4.12.2-1
python-build 1.0.3-1
python-cairo 1.25.1-1
python-certifi 2023.11.17-1
python-charset-normalizer 3.3.2-1
python-distro 1.8.0-3
python-docutils 1:0.20.1-1
python-evdev 1.6.1-2
python-fastjsonschema 2.19.0-1
python-gobject 3.46.0-1
python-idna 3.5-1
python-imagesize 1.4.1-4
python-inflect 7.0.0-2
python-installer 0.7.0-3
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-jinja 1:3.1.2-4
python-lxml 4.9.2-3
python-mako 1.2.4-3
python-markdown 3.5.1-1
python-markupsafe 2.1.3-1
python-moddb 0.10.0-1
python-more-itertools 10.1.0-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pillow 10.1.0-2
python-platformdirs 4.1.0-1
python-pydantic 2.5.2-1
python-pydantic-core 1:2.14.5-1
python-pygments 2.17.2-1
python-pyproject-hooks 1.0.0-5
python-pyrate-limiter 3.1.0-1
python-pytz 2023.3.post1-1
python-requests 2.31.0-1
python-setuptools 1:69.0.2-1
python-six 1.16.0-8
python-snowballstemmer 2.2.0-5
python-soupsieve 2.5-1
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.13-4
python-sphinx_rtd_theme 1.3.0-1
python-sphinxcontrib-applehelp 1.0.7-1
python-sphinxcontrib-devhelp 1.0.5-1
python-sphinxcontrib-htmlhelp 2.0.4-1
python-sphinxcontrib-jquery 4.1-2
python-sphinxcontrib-jsmath 1.0.1-15
